model,dataset,shallow_exit,deep_exit,cluster,cluster_pairs,depth_gain,source_id,source_path,source_sha256,json_path
Ouro-2.6B,2Wiki,1,3,composer -> country of citizenship,4,4.607836693525314,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.composer -> country of citizenship.G31
Ouro-2.6B,2Wiki,1,3,composer -> place of birth,4,4.501798614859581,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.composer -> place of birth.G31
Ouro-2.6B,2Wiki,1,3,composer -> place of death,4,3.6769922971725464,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.composer -> place of death.G31
Ouro-2.6B,2Wiki,1,3,director -> award received,4,3.6022654473781586,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.director -> award received.G31
Ouro-2.6B,2Wiki,1,3,director -> child,4,2.35089373588562,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.director -> child.G31
Ouro-2.6B,2Wiki,1,3,director -> country of citizenship,4,4.727546691894531,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.director -> country of citizenship.G31
Ouro-2.6B,2Wiki,1,3,director -> educated at,4,3.743655651807785,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.director -> educated at.G31
Ouro-2.6B,2Wiki,1,3,director -> employer,4,4.044538825750351,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.director -> employer.G31
Ouro-2.6B,2Wiki,1,3,director -> father,4,1.6943819224834442,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.director -> father.G31
Ouro-2.6B,2Wiki,1,3,director -> place of birth,4,3.605226010084152,ouro_2wiki_bridge,reports/discovery/ouro26_2wiki_bridge_validation_v1_20260905T172500Z/merged.json,04c2beadecdca18563224200c8bfef26d237f40c142efdc387536ba0a56353cd,summary.descriptive.D3_G31_F3_per_relation_path_no_additional_gates.director -> place of birth.G31
