model,dataset,deep_exit,cluster,metric,value,source_id,source_path,source_sha256,json_path
Ouro-2.6B,2Wiki,3,composer -> country of citizenship,deep specificity,8.141132324934006,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.composer -> country of citizenship.C3
Ouro-2.6B,2Wiki,3,composer -> country of citizenship,specificity gain,8.129546254873276,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.composer -> country of citizenship.A31
Ouro-2.6B,2Wiki,3,composer -> place of birth,deep specificity,7.723083510994911,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.composer -> place of birth.C3
Ouro-2.6B,2Wiki,3,composer -> place of birth,specificity gain,7.717934802174568,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.composer -> place of birth.A31
Ouro-2.6B,2Wiki,3,composer -> place of death,deep specificity,7.590073436498642,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.composer -> place of death.C3
Ouro-2.6B,2Wiki,3,composer -> place of death,specificity gain,7.5824892818927765,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.composer -> place of death.A31
Ouro-2.6B,2Wiki,3,director -> award received,deep specificity,6.727309286594391,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> award received.C3
Ouro-2.6B,2Wiki,3,director -> award received,specificity gain,6.62372899055481,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> award received.A31
Ouro-2.6B,2Wiki,3,director -> child,deep specificity,3.9047173857688904,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> child.C3
Ouro-2.6B,2Wiki,3,director -> child,specificity gain,3.93872332572937,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> child.A31
Ouro-2.6B,2Wiki,3,director -> country of citizenship,deep specificity,7.216308683156967,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> country of citizenship.C3
Ouro-2.6B,2Wiki,3,director -> country of citizenship,specificity gain,7.211582273244858,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> country of citizenship.A31
Ouro-2.6B,2Wiki,3,director -> educated at,deep specificity,6.430501371622086,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> educated at.C3
Ouro-2.6B,2Wiki,3,director -> educated at,specificity gain,6.435756057500839,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> educated at.A31
Ouro-2.6B,2Wiki,3,director -> employer,deep specificity,5.889749675989151,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> employer.C3
Ouro-2.6B,2Wiki,3,director -> employer,specificity gain,5.855787545442581,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.director -> employer.A31
