claim_id,evidence_status,system,panel,estimand,contrast,estimate,ci95_low,ci95_high,unit,source
natural-ouro26_2wiki-margin-gain,held-out confirmation,Ouro-2.6B,2Wiki,full-answer path-margin depth gain,K1 to K3,3.115351290472092,2.721954595309592,3.5318558708674486,nats,scale_invariant_path_control.json
natural-ouro26_2wiki-choice-gain,held-out confirmation,Ouro-2.6B,2Wiki,first-divergence exact-choice depth gain,K1 to K3,0.3840725806451613,0.3013860887096774,0.46975806451612906,proportion,scale_invariant_path_control.json
natural-ouro26_2wiki-repair,held-out confirmation,Ouro-2.6B,2Wiki,coherent-repair fraction,K3,0.7111666197135752,0.6234409447218597,0.7840646352129501,fraction,natural_depth_curves.json
natural-ouro26_musique-margin-gain,independent confirmation,Ouro-2.6B,MuSiQue,full-answer path-margin depth gain,K1 to K3,3.1411755612022,2.775798117800763,3.508182684402717,nats,scale_invariant_path_control.json
natural-ouro26_musique-choice-gain,independent confirmation,Ouro-2.6B,MuSiQue,first-divergence exact-choice depth gain,K1 to K3,0.3539473684210526,0.2881578947368421,0.41973684210526313,proportion,scale_invariant_path_control.json
natural-ouro26_musique-repair,independent confirmation,Ouro-2.6B,MuSiQue,coherent-repair fraction,K3,0.6481816796816395,0.5614710264757897,0.7255480441805711,fraction,natural_depth_curves.json
natural-loopus_2wiki-margin-gain,registered transfer,LoopUS-1.7B,2Wiki,full-answer path-margin depth gain,K1 to K8,1.1076776025321093,0.8354275616618769,1.389535023101733,nats,scale_invariant_path_control.json
natural-loopus_2wiki-choice-gain,registered transfer,LoopUS-1.7B,2Wiki,first-divergence exact-choice depth gain,K1 to K8,0.14112903225806453,0.05779569892473118,0.22849462365591397,proportion,scale_invariant_path_control.json
natural-loopus_2wiki-repair,registered transfer,LoopUS-1.7B,2Wiki,coherent-repair fraction,K8,0.7897399177018251,0.710347426906705,0.8594035392351761,fraction,natural_depth_curves.json
natural-loopus_musique-margin-gain,registered transfer,LoopUS-1.7B,MuSiQue,full-answer path-margin depth gain,K1 to K8,0.6865062816509683,0.4829246270786481,0.9146635238209887,nats,scale_invariant_path_control.json
natural-loopus_musique-choice-gain,registered transfer,LoopUS-1.7B,MuSiQue,first-divergence exact-choice depth gain,K1 to K8,0.08552631578947369,0.014473684210526316,0.16052631578947368,proportion,scale_invariant_path_control.json
natural-loopus_musique-repair,registered transfer,LoopUS-1.7B,MuSiQue,coherent-repair fraction,K8,0.6700245033956667,0.572955900175463,0.7533622741863616,fraction,natural_depth_curves.json
fictional-ouro-choice-acquisition,prospective confirmation,Ouro-2.6B,arbitrary fictional two-hop worlds,exact-choice gain,K1 to K4,0.48046875,0.4509548611111111,0.5091145833333334,proportion,fictional_ouro/nonce_path_control_ouro26.json
fictional-ouro-margin-acquisition,prospective confirmation,Ouro-2.6B,arbitrary fictional two-hop worlds,path-margin gain,K1 to K4,0.2767469618055556,0.26375257703993055,0.29001261393229166,label-logit units,fictional_ouro/nonce_path_control_ouro26.json
fictional-loopus-choice-change,frozen extension,LoopUS-8B,arbitrary fictional two-hop worlds,exact-choice gain,K1 to K8,-0.00043402777777777775,-0.010416666666666666,0.009548611111111112,proportion,fictional_loopus8.json
fictional-loopus-margin-sharpening,frozen extension,LoopUS-8B,arbitrary fictional two-hop worlds,path-margin gain,K1 to K8,0.216796875,0.2082248263888889,0.22526041666666666,label-logit units,fictional_loopus8.json
structural-on-off-specificity,prospective confirmation,Ouro-2.6B,held-out structural worlds,on-path minus off-path choice effect,K4,0.4635416666666667,0.4149305555555556,0.5130208333333334,proportion,structural_falsifiers.json
structural-crossed-locality,prospective confirmation,Ouro-2.6B,held-out structural worlds,graph-directed choice under adverse locality,K4,0.4383680555555556,0.3784722222222222,0.4991319444444444,proportion,structural_falsifiers.json
structural-locality-amplification,prospective confirmation,Ouro-2.6B,held-out structural worlds,matched minus crossed locality contribution,K4,0.3012152777777778,0.2595486111111111,0.3428819444444444,proportion,structural_falsifiers.json
factorial-tying-final-only,confirmatory factorial,controlled graph-memory model,eight confirmation seeds,tied minus untied depth gain under final-only supervision,K1 to K4 choice gain,0.0053124999999999995,-0.014791666666666668,0.024375,proportion,training_factorial.json
factorial-tying-all-exit,confirmatory factorial,controlled graph-memory model,eight confirmation seeds,tied minus untied depth gain under all-exit supervision,K1 to K4 choice gain,0.25927083333333334,0.21051822916666665,0.30885416666666665,proportion,training_factorial.json
factorial-supervision-tied,confirmatory factorial,controlled graph-memory model,eight confirmation seeds,all-exit minus final-only depth gain in tied model,K1 to K4 choice gain,-0.575,-0.6386484375,-0.5038541666666667,proportion,training_factorial.json
factorial-supervision-untied,confirmatory factorial,controlled graph-memory model,eight confirmation seeds,all-exit minus final-only depth gain in untied model,K1 to K4 choice gain,-0.8289583333333334,-0.8911458333333333,-0.7611458333333334,proportion,training_factorial.json
factorial-interaction,confirmatory factorial,controlled graph-memory model,eight confirmation seeds,tying by supervision interaction,K1 to K4 choice gain,0.25395833333333334,0.19843489583333332,0.31052083333333336,proportion,training_factorial.json
